City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Sirsa,India,221055.559395076,Medium,5.091166666666667,43419,112.55837435314906,0,275098700.6864211,0.036694444444444446,34179.78666666667,85.91438709677419,507465818.7204102,33777400
Aurangabad,India,1417301.8885329936,Large,4.896316666666666,289463,50.200681560015155,0,2290858140.935934,0.17384583333333334,21359.8,79.8,2808721461.9137654,98832199.99999999
Bhiwani,India,236463.42689582403,Medium,5.027102564102564,47038,74.96529092515462,0,439073037.24712646,0.0941025641025641,14306.6,58.324,284758472.42625487,33777400
Jullundur,India,1039890.546197646,Large,4.537873684210527,229158,100.71942446043168,0,2995380491.02355,0.15878947368421054,34642.3,79.324,2936337527.214382,98832199.99999999
Karur,India,85608.64463429303,Small,3.6693548387096775,23331,69.9734948882999,0,422077202.3184709,0.294,22303.05,85.91438709677419,257865958.7937063,19245149.999999996
Jorhat,India,152855.6943698473,Medium,4.2245333333333335,36183,73.75489082418277,0,223049913.58116704,0.294,23600.500000000004,31.5,347744661.01393807,33777400
Sopore,India,73571.81350650711,Small,6.142382438827912,11978,110.04922377887164,0,362731887.0305258,0.294,22303.05,85.91438709677419,127696954.23531972,9936399.999999998
Tezpur,India,91108.43921773028,Small,4.241913746630728,21478,81.83364887037739,0,225950504.3118708,0.294,22303.05,56,213982849.5316668,24830399.999999996
Johor Bahru,Malaysia,638111.0485301206,Medium,4.17,153024.23226141982,1149.9517839922855,15.8,24735351.622064345,0,51540.5,172.24,2350895068.742281,70645000
Alor Setar,Malaysia,442162.47147179494,Medium,4.29,103068.17516825056,638.8621022179365,173.91237524879747,17139719.224622678,5.306385447675249e-4,69861.00105137851,61.51,2146444456.7113984,70645000
Kota Bharu,Malaysia,316636.58942829666,Medium,4.86,65151.561610760626,638.8621022179365,142.3073697218576,12273909.680707311,2.9749045551455227e-4,69861.00105137851,210.4560236092089,1397083354.9401927,70645000
Malacca City,Malaysia,600258.5559488916,Medium,4.05,148211.9891231831,894.406943105111,30.47155617238021,23268060.441438302,7.415537033191944e-5,44962.5,104.57,1986396680.0304184,70645000
Seremban,Malaysia,382457.8613171003,Medium,4.2,91061.39555169056,894.406943105111,252.69995130847997,14825365.744869482,0.002051311964690213,13560.251052998528,500,1063241329.0021274,70645000
Kuantan,Malaysia,435629.861884486,Medium,4.59,94908.46664150021,894.406943105111,1.6335000000000002,7746449024.753273,0.004644400046025586,69861.00105137851,123.03,1977779587.069206,70645000
George Town,Malaysia,245481.0339102123,Medium,3.94,62304.83094167825,894.406943105111,274.7381,9515678.664871737,1.987030534815113e-4,55115.5,246.06,1023615611.0544866,70645000
Ipoh,Malaysia,814430.8483255373,Medium,4.04,201591.79413998447,894.406943105111,130.47160000000002,31570105.942519832,5.614676988748336e-4,43989,172.24,2643635635.7713585,104717500
Kangar,Malaysia,14303.159213903282,Small,4.26,3357.549111244902,894.406943105111,12.8918,554439.0326373845,0,27135.557659431182,148.2696117306898,27157233.93441287,20470000
Kota Kinabalu,Malaysia,559620.6982792703,Medium,5.88,95173.58814273305,638.8621022179365,123.94512846742435,21692799.049332764,0.003042531590608698,132517.38989146583,1075,6528141578.68767,70645000
Kuching,Malaysia,741051.9524968963,Medium,4.47,165783.43456306407,894.406943105111,152.55491282192784,28725690.704543293,0.004082120438277584,59950,106.62,2964667898.3938446,70645000
Shah Alam,Malaysia,548682.2600921447,Medium,3.93,139613.80663922257,1149.9517839922855,80.31984948706393,21268788.03216261,0.010185239083657423,82213.84551838084,210.4560236092089,3425959133.031439,70645000
Kuala Terengganu,Malaysia,417870.3740808979,Medium,4.78,87420.58035165227,894.406943105111,3.849832368,866847834.0157199,0.0035435312976777214,27915.461930331818,210.4560236092089,728419784.7017624,70645000
Kuala Lumpur,Malaysia,1966777.2374146476,Large,3.72,528703.5584447978,1661.0414657666347,15.7956,53949530873.78633,0.24062688763261827,78019.57868649319,307.816604708798,12707525247.892347,209435000
Victoria,Malaysia,85078.66713992703,Small,4.72,18025.14134320488,1149.9517839922855,8.980329278350515,3297938.1129510896,3.5737685389242954e-4,27135.557659431182,148.2696117306898,145815605.5057395,40751250
Putrajaya,Malaysia,84626.81902558787,Small,3.45,24529.51276103996,1661.0414657666347,45.12937543985466,3280422.945311081,0,56397,147.63,412353165.3441736,36695000
Cukai,Malaysia,21236.861373940697,Small,4.78,4442.858028021066,894.406943105111,4.961790000000001,823212.879080347,0.0035435312976777214,27135.557659431182,148.2696117306898,35986666.10815117,20470000
Donggongon,Malaysia,1729.402234881676,Small,5.88,294.11602634042106,638.8621022179365,9.202065803741887,67037.50463860361,0.003042531590608698,27135.557659431182,148.2696117306898,2381830.3574401056,20470000
Semenyih,Malaysia,25338.15672409316,Small,3.93,6447.3681231789205,1149.9517839922855,8.231968505154638,982193.0171388253,0.22055511223064347,61716.52635327635,148.2696117306898,123213741.75857247,20470000
Simpang Empat,Malaysia,2945.0593534599193,Small,3.94,747.4769932639389,894.406943105111,2.217365253913707,114160.50360432212,5.614676988748336e-4,27135.557659431182,148.2696117306898,6047260.19224419,20470000
Stockholm,Sweden,977357.4,Medium,2.124180654504993,452953,15262.803980213965,75.3,5775463731.936214,0,299623.7043104374,7206.445990672861,23729659549.41607,80112150681.16875
Uppsala,Sweden,228613.6,Medium,2.161629737721286,104164,1381.1967099965489,30.23,2311286120.2142224,0,212648.99973464952,7126.669835794564,3732875128.206404,19658503597.478436
Goteborg,Sweden,579035.1,Medium,2.141707394715653,267015,14206.594731393076,84.22,6436250058.759919,0,269740.2399892748,6366.13715928813,10151389769.56102,55236560693.28424
Malmo,Sweden,344590.8,Medium,2.171228011799561,156277,11072.787070056367,26.41,2025692559.516127,0,239103.31131060031,6738.425882053518,6419547750.599539,31098776274.740604
Vasteraas,Sweden,153817.4,Medium,2.186505254985407,69553,15193.16380996204,27.58,2106105079.4912632,0,212648.99973464952,6227.858490832415,1903213954.3865356,13824103060.301394
Umea,Sweden,128558.1,Medium,2.081358984854687,61075,15181.557114920051,27.41,2092057771.6794505,0,212648.99973464952,5961.937974571422,1635805060.570052,11536959696.836538
Gavle,Sweden,102249.6,Medium,2.1060115414954126,48174,14566.402277694697,31.2,2379323909.798891,0,212648.99973464952,5446.052173025099,887605320.0070128,9816928274.211435
Vaxjo,Sweden,93716.3,Small,2.1900018926847733,42268,14752.1093983665,18.86,1439734617.4337928,0,212648.99973464952,5589.649251806036,1231055240.0864153,9101697262.459452
Lulea,Sweden,78274.6,Small,2.0423522002676533,38109,15715.465086851487,23.96,1827150631.731702,0,212648.99973464952,5350.320787171143,515991050.4362682,7535762822.961001
Kalmar,Sweden,69191.7,Small,2.110922816207056,32455,15262.803980213965,17.55,1338903090.7911923,0,212648.99973464952,5887.4802300183455,767574475.1157416,6398354992.697572
Vanersborg,Sweden,39653,Small,2.188041305796136,18012,14299.448291728975,7.11,542897705.7700684,0,212648.99973464952,5430.09694204944,263015348.90438077,4057616554.206831
Harnosand,Sweden,25160.4,Small,2.0444372100594124,12287,13637.866674335672,5.59,426553846.1955808,0,212648.99973464952,5095.037091560592,47408859.87875027,2765692506.9918313
Mariestad,Sweden,24426.7,Small,2.08861084925872,11669,15053.883469458182,5.57,425004505.4309547,0,212648.99973464952,4978.032064405756,67768423.558915,2480265305.197285
Sundsvall,Sweden,99239.5,Small,2.100242213062508,47066,15587.791441389623,40.82,3111381080.149157,0,212648.99973464952,5626.878124082574,445987406.7330268,9575265741.010006
Norrkoping,Sweden,143037.6,Medium,2.1819805944863697,64930,14438.728632232827,27.6,2107098594.8240273,0,212648.99973464952,6121.490284328018,1484053829.4100668,13307182182.965605
Bollnas,Sweden,27071.2,Small,2.050053167248975,13166,13753.933624755547,10.15,773747810.5729083,0,212648.99973464952,5126.947553511911,95349267.41097099,2763303849.152191
Trollhattan,Sweden,59152.1,Small,2.2016119962511715,26675,14032.494305763255,12.21,931952030.7220434,0,212648.99973464952,5515.191507252958,459820758.9876857,5827649619.072818
Borlange,Sweden,52627.9,Small,2.1694014040626426,24073,13220.02565282411,15.65,1193531266.4822066,0,212648.99973464952,5642.833355058234,437285992.46878296,5493578758.3573
Skelleftea,Sweden,72527.5,Small,2.107456523003548,34386,15715.465086851487,24.84,1893813228.4140065,0,212648.99973464952,5041.852988308394,90973555.1570677,8390934364.0308275
